StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|1.67|32.1|1.67|-0.03%|2.18%(Jan2020)|1.5%(Feb2020)|68.02k|0.00|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|1.65|31.6|1.65|-6.71%|10.06%(Dec2019)|1.65%(May2020)|19.02k|-0.64L|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
SBILifeInsuranceCoLtd.|Insurance|3.18|28.1|1.46|0.07%|1.65%(Oct2019)|0%(Jun2019)|36.51k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|1.42|27.2|1.42|0.10%|1.45%(Mar2020)|0%(Jun2019)|42.28k|0.00|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
TCIExpressLtd.|Logisticssolutionprovider|1.39|26.6|1.39|-0.14%|1.77%(Jan2020)|0%(Jun2019)|41.25k|0.00|SmallCap|3.44|invesco-india-largecap-fund|29-06-2020
SiemensLtd.|Powerequipment|1.29|24.8|1.29|-0.07%|1.59%(Mar2020)|0%(Jun2019)|22.75k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
WhirlpoolOfIndiaLtd.|Homeappliances|1.28|24.5|1.28|-0.08%|1.51%(Jan2020)|1.01%(Aug2019)|12.61k|0.00|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
CentralDepositoryServices(India)Ltd.|Capitalmarkets|1.17|22.4|1.17|0.10%|1.22%(Mar2020)|0%(Jun2019)|90.75k|0.00|SmallCap|3.44|invesco-india-largecap-fund|29-06-2020
UnitedSpiritsLtd.|Brew/distilleries|2.08|21.3|1.11|0.10%|2.02%(Feb2020)|1.01%(Apr2020)|35.77k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|1.08|20.7|1.08|0.03%|1.08%(May2020)|0%(Jun2019)|20.31k|0.00|Other|11.07|invesco-india-largecap-fund|29-06-2020
AdityaBirlaFashionandRetailLtd.|Retailing|1.03|19.7|1.03|0.13%|2.35%(Jun2019)|0.46%(Aug2019)|1.64L|15.83k|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
UnitedBreweriesLtd.|Brew/distilleries|2.08|18.6|0.97|0.01%|1.65%(Mar2020)|0%(Jun2019)|19.43k|0.00|LargeCap|71.01|invesco-india-largecap-fund|29-06-2020
HeritageFoods(india)Ltd.|Consumerfood|1.3|16.9|0.88|-0.15%|1.39%(Sep2019)|0.88%(May2020)|72.17k|0.00|SmallCap|3.44|invesco-india-largecap-fund|29-06-2020
JubilantFoodworksLtd.|Consumerfood|1.3|8|0.42|-0.09%|0.55%(Mar2020)|0%(Jun2019)|4.84k|-1.14k|MidCap|11.52|invesco-india-largecap-fund|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|4.02|303.9|4.02|0.01%|5.07%(Mar2020)|2.26%(Jul2019)|4.72L|-0.32L|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|3.95|298.3|3.95|-0.04%|3.99%(Apr2020)|2.59%(Jun2019)|6.32L|6.86k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
BalkrishnaIndustriesLtd.|Tyres&allied|3.46|261.7|3.46|0.65%|3.46%(May2020)|0%(Jun2019)|2.43L|18.00k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
WhirlpoolOfIndiaLtd.|Homeappliances|3.37|254.5|3.37|-0.23%|4.47%(Dec2019)|3.37%(Jun2019)|1.31L|309.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
AjantaPharmaLimited|Pharmaceuticals|10.58|252.8|3.35|0.05%|3.49%(Mar2020)|2.28%(Dec2019)|1.66L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
ApolloHospitalsEnterprisesLtd.|Hospital|3.11|234.8|3.11|-1.42%|4.53%(Apr2020)|3.11%(May2020)|1.73L|-0.69L|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
AIAEngineeringLtd.|Castings/forgings|2.97|224.2|2.97|0.41%|3.04%(Sep2019)|1.64%(Jun2019)|1.35L|15.81k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
MuthootFinancePvt.Ltd.|Nbfc|2.85|215.3|2.85|-0.03%|2.88%(Apr2020)|0%(Jun2019)|2.50L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
VoltasLimited|Engineering,designing,construction|2.85|215.3|2.85|0.43%|2.85%(May2020)|0%(Jun2019)|4.48L|90.27k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
DixonTechnologies(India)Ltd.|Consumerelctronics|2.82|212.8|2.82|0.50%|2.82%(May2020)|0%(Jun2019)|43.64k|5.64k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
JubilantFoodworksLtd.|Consumerfood|2.99|209.3|2.77|0.05%|2.87%(Mar2020)|0%(Jun2019)|1.26L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
TorrentPowerLtd.|Power|2.62|197.6|2.62|0.09%|2.62%(May2020)|0%(Jun2019)|6.20L|48.79k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
ICICIBankLtd.|Banks|4.78|196.9|2.61|-0.41%|4.11%(Dec2019)|0%(Jun2019)|5.93L|0.00|LargeCap|6.76|invesco-india-midcap-fund|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|2.49|188|2.49|0.05%|2.91%(Aug2019)|2.14%(Feb2020)|1.85L|0.00|Other|7.28|invesco-india-midcap-fund|29-06-2020
SyngeneInternationalLtd.|Pharmaceuticals|10.58|186.2|2.46|1.02%|2.46%(May2020)|0%(Jun2019)|5.21L|1.86L|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
EscortsLtd.|Tractors|2.45|185|2.45|0.73%|2.45%(May2020)|0%(Jun2019)|2.05L|24.21k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
AbbottIndiaLtd.|Pharmaceuticals|10.58|183.1|2.42|-0.03%|2.46%(Mar2020)|0%(Jun2019)|10.95k|621.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
L&TTechnologyServicesLtd.|Itenabledservices–software|2.39|180.6|2.39|-0.16%|2.55%(Apr2020)|0%(Jun2019)|1.54L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
#PiIndustriesLtd.|Pesticidesandagrochemicals|2.37|179|2.37|2.37%|2.37%(May2020)|0%(Jun2019)|1.16L|1.16L|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
SanofiIndiaLtd.|Pharmaceuticals|10.58|177.7|2.35|0.08%|4.08%(Jul2019)|2.27%(Apr2020)|22.98k|1.15k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
TVSMotorCompanyLtd.|Motorcycles/scooters|2.34|177|2.34|0.23%|2.34%(May2020)|0%(Jun2019)|5.27L|46.62k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
TheRamcoCementsLtd.|Cement|2.3|173.5|2.30|0.34%|2.63%(Jul2019)|1.81%(Mar2020)|2.87L|22.87k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
IndiamartIntermeshLtd.|Retailing|4.36|173.3|2.29|0.19%|2.29%(May2020)|0%(Jun2019)|69.97k|0.00|Other|7.28|invesco-india-midcap-fund|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|4.37|172.5|2.28|-0.21%|2.55%(Mar2020)|0%(Jun2019)|7.17L|0.00|Other|7.28|invesco-india-midcap-fund|29-06-2020
HexawareTechnologiesLtd.|Computers-software|2.26|170.9|2.26|-0.07%|2.89%(Aug2019)|2.18%(Mar2020)|6.73L|50.91k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|2.18|164.6|2.18|-0.03%|2.63%(Mar2020)|1.63%(Jun2019)|23.79L|92.47k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
CityUnionBankLtd.|Banks|4.78|163.7|2.17|-0.16%|4.12%(Sep2019)|2.17%(May2020)|12.07L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|4.37|158.2|2.09|-0.13%|3.95%(Sep2019)|1.93%(Mar2020)|8.01L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
AdityaBirlaFashionandRetailLtd.|Retailing|4.36|156.7|2.07|0.05%|3.25%(Jun2019)|2.02%(Apr2020)|13.07L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
BataIndiaLtd.|Leatherandleatherproducts|2.06|155.5|2.06|-0.08%|3.34%(Oct2019)|1.77%(Jun2019)|1.17L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
MindaIndustriesLtd.|Autoancillaries|3.86|152|2.01|-0.09%|2.1%(Apr2020)|0%(Jun2019)|5.25L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
TubeInvestmentsOfIndiaLtd.|Autoancillaries|3.86|139.8|1.85|-0.05%|1.9%(Apr2020)|0%(Jun2019)|3.80L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
ExideIndustriesLtd.|Batteries–automobile|1.8|135.7|1.80|0.05%|3.16%(Jul2019)|1.69%(Mar2020)|8.33L|0.00|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
PhoenixMillsLtd.|Residential/commercial/sezproject|1.56|118.1|1.56|-0.07%|2.12%(Feb2020)|0%(Jun2019)|2.25L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
MishraDhatuNigamLtd.|Steel|1.46|110.1|1.46|-0.04%|2.42%(Feb2020)|0.97%(Jul2019)|5.46L|25.52k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
#BhartiAirtelLtd.|Telecom-services|1.43|108|1.43|1.43%|1.43%(May2020)|0%(Jun2019)|1.95L|1.95L|LargeCap|6.76|invesco-india-midcap-fund|29-06-2020
MotilalOswalFinancialServicesLtd.|Stockbrokingandallied|1.4|105.7|1.40|0.19%|1.4%(May2020)|0%(Jun2019)|2.03L|24.80k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
PNCInfratechLtd.|Constructioncivil|1.06|79.7|1.06|-0.23%|2.23%(Jul2019)|0.96%(Mar2020)|7.53L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
MahindraLogisticsLtd.|Logisticssolutionprovider|1.03|78|1.03|-0.03%|1.3%(Jun2019)|0.84%(Mar2020)|3.05L|0.00|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
GulfOilLubircantsIndiaLtd.|Lubricants|0.85|64.3|0.85|-0.01%|1.52%(Jun2019)|0.85%(May2020)|1.12L|3.75k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
HeritageFoods(india)Ltd.|Consumerfood|2.99|16.7|0.22|-0.05%|0.84%(Dec2019)|0.22%(May2020)|71.65k|-2.12k|SmallCap|20.06|invesco-india-midcap-fund|29-06-2020
MusicBroadcastPvtLtd.|Media&entertainment|0.22|16.5|0.22|-0.01%|1.41%(Jun2019)|0.22%(May2020)|12.73L|0.00|Other|7.28|invesco-india-midcap-fund|29-06-2020
SchaefflerIndiaLtd.|Bearings|0.06|4.3|0.06|-0.31%|2.59%(Sep2019)|0.06%(May2020)|1.34k|-6.71k|MidCap|63.29|invesco-india-midcap-fund|29-06-2020
HDFCBankLtd.|Banks|15.66|647.2|8.18|-0.43%|9.02%(Sep2019)|7.69%(Feb2020)|6.80L|0.00|Other|12.97|invesco-india-multicap-fund|29-06-2020
InfosysLtd.|Computers-software|5.01|396|5.01|-0.17%|5.72%(Jul2019)|4.16%(Feb2020)|5.73L|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
ICICIBankLtd.|Banks|15.66|335.5|4.24|-0.61%|6.94%(Nov2019)|4.24%(May2020)|10.11L|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|3.88|306.6|3.88|0.28%|3.88%(May2020)|2.27%(Nov2019)|5.55L|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
#HindustanUnileverLtd.|Diversified|3.3|260.8|3.30|3.30%|3.3%(May2020)|0%(Jun2019)|1.27L|1.27L|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
SanofiIndiaLtd.|Pharmaceuticals|7.91|250.5|3.17|-0.01%|3.18%(Apr2020)|1.88%(Jun2019)|32.39k|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
ApolloHospitalsEnterprisesLtd.|Hospital|2.94|232.9|2.94|-0.08%|3.31%(Feb2020)|2.3%(Sep2019)|1.72L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
RallisIndiaLtd.|Pesticidesandagrochemicals|3.98|226.7|2.87|-0.01%|2.88%(Apr2020)|1.75%(Jun2019)|10.65L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
UnitedSpiritsLtd.|Brew/distilleries|2.62|207.1|2.62|0.26%|3.01%(Aug2019)|2.04%(Jan2020)|3.49L|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|2.51|198.3|2.51|0.08%|3.25%(Aug2019)|1.96%(Feb2020)|1.95L|0.00|Other|12.97|invesco-india-multicap-fund|29-06-2020
AjantaPharmaLimited|Pharmaceuticals|7.91|193.3|2.44|0.06%|2.56%(Mar2020)|1.71%(Dec2019)|1.27L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
TVSMotorCompanyLtd.|Motorcycles/scooters|2.44|193|2.44|0.06%|2.78%(Feb2020)|0%(Jun2019)|5.75L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
WhirlpoolOfIndiaLtd.|Homeappliances|4.21|187.7|2.37|-0.14%|2.69%(Dec2019)|1.35%(Jun2019)|96.51k|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|2.36|186.4|2.36|-0.02%|2.62%(Nov2019)|0%(Jun2019)|3.95L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|7.91|182.2|2.30|-0.42%|2.72%(Apr2020)|0%(Jun2019)|76.21k|-0.16L|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
IndiamartIntermeshLtd.|Retailing|5.64|180.7|2.28|0.21%|2.28%(May2020)|0%(Jun2019)|72.92k|0.00|Other|12.97|invesco-india-multicap-fund|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.19|173|2.19|0.10%|2.19%(May2020)|0%(Jun2019)|30.84k|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
#KotakMahindraBankLtd.|Banks|15.66|167.7|2.12|2.12%|2.12%(May2020)|0%(Jun2019)|1.37L|1.37L|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|2.1|166.5|2.10|0.01%|2.1%(May2020)|0%(Jun2019)|1.28L|0.00|LargeCap|36.26|invesco-india-multicap-fund|29-06-2020
AdityaBirlaFashionandRetailLtd.|Retailing|5.64|159.4|2.02|0.08%|2.83%(Feb2020)|1.94%(Apr2020)|13.30L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
TimkenIndiaLtd.|Bearings|2.2|157|1.98|0.11%|1.98%(May2020)|1.04%(Aug2019)|1.84L|20.75k|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
OrientElectricLtd.|Homeappliances|4.21|145.2|1.84|-0.16%|2.77%(Jan2020)|1.21%(Jun2019)|8.58L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
TCIExpressLtd.|Logisticssolutionprovider|3.08|134.7|1.70|-0.16%|2.06%(Jan2020)|0%(Jun2019)|2.09L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
JubilantFoodworksLtd.|Consumerfood|2.4|130.3|1.65|0.05%|1.65%(May2020)|0%(Jun2019)|78.67k|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
PhoenixMillsLtd.|Residential/commercial/sezproject|1.52|120.4|1.52|-0.05%|2.1%(Feb2020)|0%(Jun2019)|2.29L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
MindaIndustriesLtd.|Autoancillaries|1.48|117.1|1.48|-0.05%|1.76%(Jan2020)|0%(Jun2019)|4.04L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
V.I.P.IndustriesLtd|Plasticproducts-consumer|1.47|116.7|1.47|-0.04%|2.7%(Sep2019)|1.47%(May2020)|5.36L|18.21k|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
ExideIndustriesLtd.|Batteries–automobile|1.39|110.1|1.39|0.05%|2.48%(Jun2019)|1.16%(Oct2019)|6.76L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
MahindraLogisticsLtd.|Logisticssolutionprovider|3.08|109|1.38|-0.02%|2.1%(Jun2019)|1.38%(May2020)|4.26L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
V-MartRetailLtd.|Retailing|5.64|106.1|1.34|-0.11%|1.45%(Oct2019)|1.11%(Dec2019)|66.56k|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
PNCInfratechLtd.|Constructioncivil|1.3|102.8|1.30|-0.26%|2.05%(Nov2019)|1.3%(May2020)|9.70L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
AIAEngineeringLtd.|Castings/forgings|1.18|93.2|1.18|0.70%|1.18%(May2020)|0%(Jun2019)|56.03k|32.34k|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
CentralDepositoryServices(India)Ltd.|Capitalmarkets|1.16|91.4|1.16|0.11%|1.17%(Mar2020)|0%(Jun2019)|3.70L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
CityUnionBankLtd.|Banks|15.66|88.6|1.12|-0.07%|2.45%(Nov2019)|0%(Jun2019)|6.54L|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
#PiIndustriesLtd.|Pesticidesandagrochemicals|3.98|87.6|1.11|1.11%|1.11%(May2020)|0%(Jun2019)|56.92k|56.92k|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
#JohnsonControls-HitachiAirConditioningIndiaLtd.|Airconditioner|1.04|82|1.04|1.04%|1.04%(May2020)|0%(Jun2019)|33.61k|33.61k|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
EquitasHoldingsLtd.|Investmentcompanies|0.85|66.8|0.85|-0.18%|2.25%(Jun2019)|0.85%(May2020)|15.78L|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
HeritageFoods(india)Ltd.|Consumerfood|2.4|59.6|0.75|-0.15%|1.21%(Jun2019)|0.75%(May2020)|2.55L|-7.55k|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
GulfOilLubircantsIndiaLtd.|Lubricants|0.65|51.6|0.65|-0.02%|1.12%(Aug2019)|0%(Jun2019)|89.69k|0.00|SmallCap|23.77|invesco-india-multicap-fund|29-06-2020
L&TTechnologyServicesLtd.|Itenabledservices–software|0.59|47|0.59|-0.04%|0.69%(Mar2020)|0%(Jun2019)|40.09k|0.00|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
SchaefflerIndiaLtd.|Bearings|2.2|17.7|0.22|-1.22%|2.53%(Jun2019)|0.22%(May2020)|5.54k|-0.28L|MidCap|22.56|invesco-india-multicap-fund|29-06-2020
HDFCBankLtd.|Banks|20.09|19106.4|8.78|-0.49%|9.55%(Jun2019)|8.51%(Dec2019)|2.01Cr|-1.00L|Other|9.26|icici-prudential-bluechip-fund|29-06-2020
InfosysLtd.|Computers-software|9.9|15464.6|7.11|-0.14%|7.5%(Mar2020)|5.62%(Jun2019)|2.24Cr|2.82L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
BhartiAirtelLtd.|Telecom-services|6.34|13203.4|6.07|0.31%|6.07%(May2020)|3.75%(Oct2019)|2.39Cr|-5.50L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|8.66|12839.5|5.90|0.01%|5.9%(May2020)|2.21%(Jun2019)|87.68L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
ICICIBankLtd.|Banks|20.09|11953.2|5.49|-0.70%|7.32%(Dec2019)|5.49%(May2020)|3.60Cr|4.92L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
SBILifeInsuranceCoLtd.|Insurance|3.78|7127.8|3.27|0.19%|3.84%(Jul2019)|3.09%(Apr2020)|92.73L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
ITCLimited|Cigarettes|3.26|7094.6|3.26|0.26%|3.72%(Jul2019)|2.6%(Feb2020)|3.59Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
AxisBankLtd.|Banks|20.09|6911.9|3.18|-0.49%|4.83%(Dec2019)|3.18%(May2020)|1.80Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
NationalThermalPowerCorporationLtd.|Power|3.34|6657.1|3.06|0.10%|3.98%(Jun2019)|2.82%(Feb2020)|6.80Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
HindustanUnileverLtd.|Diversified|3.48|6654.6|3.06|0.59%|3.18%(Mar2020)|0.22%(Jun2019)|32.35L|7.81L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|3.19|6116.6|2.81|-0.43%|3.85%(Jul2019)|2.81%(May2020)|36.87L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.96|5493.9|2.52|0.12%|2.52%(May2020)|1.6%(Jul2019)|9.79L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|2.5|5432.1|2.50|0.10%|3.65%(Jun2019)|2.4%(Apr2020)|58.27L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
AsianPaints(india)Ltd.|Paints|2.18|4738.8|2.18|0.42%|2.18%(May2020)|1.25%(Jun2019)|28.15L|6.34L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
AvenueSupermartsLtd.|Retailing|2.14|4594.4|2.11|-0.12%|2.37%(Mar2020)|0.57%(Jun2019)|20.25L|-0.22L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
KotakMahindraBankLtd.|Banks|20.09|4397.3|2.02|0.56%|2.02%(May2020)|1.35%(Aug2019)|35.93L|12.50L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
MothersonSumiSystemsLtd.|Autoancillaries|1.93|4206.5|1.93|0.05%|2.55%(Dec2019)|1.57%(Mar2020)|4.41Cr|-0.27Cr|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
HindalcoIndustriesLtd.|Aluminium|1.88|4091.1|1.88|0.12%|2.75%(Jun2019)|1.49%(Mar2020)|2.95Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
CiplaLtd.|Pharmaceuticals|3.3|3923|1.80|0.17%|1.8%(May2020)|1.03%(Feb2020)|60.53L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|8.66|3839.3|1.76|-0.04%|1.81%(Apr2020)|0.12%(Jul2019)|1.12Cr|5.54L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
TVSMotorCompanyLtd.|Motorcycles/scooters|1.74|3786.8|1.74|0.04%|2.08%(Oct2019)|1.68%(Aug2019)|1.13Cr|0.00|MidCap|3.94|icici-prudential-bluechip-fund|29-06-2020
EicherMotorsLtd.|Commercialvehicles|1.71|3717.9|1.71|0.30%|1.71%(May2020)|0.62%(Aug2019)|2.25L|15.05k|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
InterGlobeAviationLtd.|Airlines|1.34|2905.9|1.34|-0.04%|1.74%(Mar2020)|0.97%(Jun2019)|30.10L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
HCLTechnologiesLimited|Computers-software|9.9|2809.1|1.29|0.02%|1.3%(Aug2019)|1.1%(Jun2019)|51.05L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
UltratechCementLtd.|Cement|2.04|2782.9|1.28|0.12%|1.28%(May2020)|1.03%(Dec2019)|7.13L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
TechMahindraLtd.|Software-telecom|1.27|2755.3|1.27|0.07%|1.65%(Jan2020)|1.2%(Apr2020)|51.94L|4.00L|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
Oil&NaturalGasCorporationLtd.|Oilexploration|1.16|2481|1.14|0.05%|1.95%(Jun2019)|0.92%(Feb2020)|2.98Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
TataConsultancyServicesLtd.|Computers-software|9.9|2466.1|1.13|-0.02%|1.15%(Apr2020)|0.29%(Jun2019)|12.50L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
UnitedBreweriesLtd.|Brew/distilleries|1.02|2230.2|1.02|0.02%|1.17%(Feb2020)|0.88%(Oct2019)|23.30L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
BritanniaIndustriesLtd.|Consumerfood|1|2179.1|1.00|0.16%|1.14%(Jun2019)|0.38%(Feb2020)|6.45L|65.38k|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
IndianOilCorporationLtd.|Refineries/marketing|8.66|2043.1|0.94|-0.06%|2.47%(Jun2019)|0.94%(May2020)|2.46Cr|-0.14Cr|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
VedantaLtd.|Copper&copperproducts|0.92|1991.9|0.92|0.03%|1.7%(Jun2019)|0.74%(Mar2020)|2.16Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
GAIL(India)Ltd.|Gastransmission/marketing|0.7|1532.1|0.70|-0.02%|0.73%(Apr2020)|0.47%(Dec2019)|1.66Cr|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
StateBankOfIndia|Banks|20.09|1309.4|0.60|-0.11%|1.89%(Jun2019)|0.6%(May2020)|81.18L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
GrasimIndustriesLimited|Cement|2.04|1302.6|0.60|0.09%|0.74%(Jun2019)|0.51%(Apr2020)|22.11L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
ContainerCorporationOfIndiaLtd.|Logisticssolutionprovider|0.57|1230|0.57|0.01%|0.86%(Sep2019)|0.56%(Apr2020)|32.70L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|0.56|1220.4|0.56|-0.05%|1.25%(Jun2019)|0.2%(Dec2019)|13.71L|0.00|LargeCap|81.74|icici-prudential-bluechip-fund|29-06-2020
